id_client,age,region,revenu_annuel,anciennete_contrat,nombre_sinistres,montant_total_sinistres,type_contrat,franchise,smoker,participation_prevention,contacts_service_client,probabilite_sinistre,montant_sinistre_estime
1,56,Bretagne,38645,7,1,2597,Tous risques,300,Non,Non,2,0.05,11885
2,69,Auvergne-Rhône-Alpes,18479,14,3,11949,Tous risques,500,Non,Non,0,0.46,10640
3,46,Nouvelle-Aquitaine,43615,10,0,0,Tiers,300,Non,Oui,1,0.05,11936
4,32,Nouvelle-Aquitaine,55106,8,1,2151,Tous risques,300,Non,Non,1,0.16,8839
5,60,Nouvelle-Aquitaine,55157,6,1,3002,Tous risques,300,Non,Oui,1,0.16,13010
6,25,Provence-Alpes-Côte d'Azur,43818,12,1,5366,Tiers,500,Non,Non,4,0.5,8476
7,78,Provence-Alpes-Côte d'Azur,27999,1,2,10031,Tous risques,1000,Oui,Non,2,0.18,3825
8,38,Auvergne-Rhône-Alpes,19389,7,3,4292,Tous risques,800,Non,Non,0,0.1,8354
9,56,Nouvelle-Aquitaine,18197,6,1,5483,Tiers,800,Oui,Non,0,0.2,10837
10,75,Nouvelle-Aquitaine,1325,11,2,2636,Tiers,500,Non,Non,1,0.45,9976
11,36,Bretagne,43326,18,0,0,Tous risques,1000,Oui,Non,1,0.06,4023
12,40,Provence-Alpes-Côte d'Azur,33765,6,0,0,Tiers,1000,Non,Non,2,0.12,1095
13,28,Nouvelle-Aquitaine,45910,9,0,0,Tiers,500,Non,Non,0,0.21,4160
14,28,Auvergne-Rhône-Alpes,52136,15,0,0,Tous risques,300,Non,Non,3,0.15,14768
15,41,Auvergne-Rhône-Alpes,36198,2,0,0,Tiers,1000,Non,Non,2,0.19,3174
16,70,Nouvelle-Aquitaine,36751,9,1,2858,Tous risques,800,Non,Non,1,0.32,7233
17,53,Provence-Alpes-Côte d'Azur,29428,5,0,0,Tous risques,500,Non,Non,4,0.17,9756
18,57,Auvergne-Rhône-Alpes,30846,17,1,2670,Tous risques,800,Non,Non,3,0.43,13252
19,41,Bretagne,43741,17,0,0,Tous risques,300,Non,Oui,2,0.66,11523
20,20,Auvergne-Rhône-Alpes,32907,4,1,4817,Tous risques,500,Oui,Non,9,0.35,13679
21,39,Île-de-France,31171,6,1,5384,Tiers,800,Non,Non,4,0.55,9263
22,70,Île-de-France,34780,1,3,19524,Tous risques,800,Non,Non,3,0.45,13047
23,19,Provence-Alpes-Côte d'Azur,45635,10,2,12942,Tous risques,300,Non,Non,2,0.27,4325
24,41,Nouvelle-Aquitaine,26688,12,2,10867,Tiers,500,Non,Oui,4,0.23,6743
25,61,Provence-Alpes-Côte d'Azur,34201,4,0,0,Tous risques,1000,Non,Non,1,0.42,12734
26,47,Provence-Alpes-Côte d'Azur,37943,5,2,12120,Tous risques,1000,Non,Non,4,0.08,5220
27,55,Provence-Alpes-Côte d'Azur,48922,13,1,2222,Tous risques,800,Non,Non,1,0.12,13132
28,19,Provence-Alpes-Côte d'Azur,32128,11,1,5457,Tous risques,300,Non,Non,3,0.44,5765
29,77,Bretagne,26386,3,1,5113,Tous risques,800,Non,Oui,4,0.12,5769
30,38,Bretagne,29187,5,2,11106,Tous risques,300,Non,Non,1,0.71,4980
31,50,Auvergne-Rhône-Alpes,47636,9,0,0,Tous risques,1000,Non,Non,1,0.08,8430
32,29,Île-de-France,59399,17,1,4832,Tiers,800,Non,Non,2,0.2,2371
33,75,Provence-Alpes-Côte d'Azur,19234,14,1,6719,Tiers,800,Non,Oui,1,0.33,1030
34,39,Auvergne-Rhône-Alpes,21856,7,3,4819,Tous risques,300,Oui,Non,4,0.06,13512
35,78,Île-de-France,32974,8,0,0,Tous risques,500,Oui,Oui,4,0.33,13969
36,61,Nouvelle-Aquitaine,36331,4,2,9336,Tiers,300,Non,Non,1,0.32,1604
37,42,Bretagne,44443,9,3,20352,Tiers,500,Non,Non,3,0.1,8470
38,66,Île-de-France,24306,19,1,1573,Tiers,1000,Non,Oui,3,0.34,8325
39,44,Nouvelle-Aquitaine,22242,5,0,0,Tous risques,800,Oui,Oui,2,0.14,5900
40,76,Île-de-France,36657,15,1,1334,Tous risques,800,Non,Non,1,0.44,8749
41,59,Bretagne,31899,2,0,0,Tous risques,300,Oui,Non,1,0.33,7142
42,45,Bretagne,46120,9,1,6446,Tous risques,300,Non,Oui,2,0.26,7599
43,77,Auvergne-Rhône-Alpes,40848,10,2,10655,Tous risques,1000,Non,Non,1,0.43,11452
44,33,Provence-Alpes-Côte d'Azur,41664,10,1,5062,Tous risques,1000,Non,Non,2,0.26,8126
45,32,Île-de-France,33746,16,1,4135,Tiers,500,Non,Oui,2,0.21,5193
46,79,Île-de-France,63266,3,1,5691,Tiers,1000,Non,Non,2,0.07,8931
47,79,Nouvelle-Aquitaine,24947,3,1,1933,Tous risques,1000,Non,Non,2,0.57,9790
48,64,Bretagne,42329,16,0,0,Tiers,1000,Non,Oui,2,0.37,10103
49,79,Île-de-France,19763,8,3,11820,Tous risques,1000,Non,Non,3,0.08,9465
50,68,Bretagne,22118,18,0,0,Tous risques,500,Oui,Non,0,0.03,10136
51,61,Île-de-France,27711,4,1,3517,Tous risques,1000,Non,Oui,2,0.05,4996
52,72,Auvergne-Rhône-Alpes,54551,5,0,0,Tous risques,500,Oui,Oui,1,0.19,6968
53,69,Provence-Alpes-Côte d'Azur,38166,2,0,0,Tous risques,300,Oui,Oui,1,0.21,10196
54,74,Île-de-France,27914,0,2,3640,Tiers,800,Non,Non,1,0.23,11438
55,20,Bretagne,39493,19,1,5584,Tous risques,300,Non,Oui,2,0.45,6795
56,54,Auvergne-Rhône-Alpes,35421,15,0,0,Tous risques,1000,Non,Non,1,0.59,5797
57,68,Île-de-France,29096,10,3,19816,Tiers,800,Non,Oui,1,0.34,10880
58,24,Nouvelle-Aquitaine,18240,12,2,3037,Tiers,1000,Oui,Non,3,0.45,3721
59,38,Provence-Alpes-Côte d'Azur,52262,9,1,5795,Tous risques,1000,Non,Non,3,0.39,637
60,26,Île-de-France,37517,2,0,0,Tous risques,300,Oui,Non,4,0.16,7331
61,56,Auvergne-Rhône-Alpes,61084,8,0,0,Tous risques,1000,Non,Non,2,0.28,3013
62,35,Nouvelle-Aquitaine,46283,11,0,0,Tous risques,300,Oui,Non,1,0.2,5985
63,21,Auvergne-Rhône-Alpes,41615,13,1,2725,Tous risques,1000,Non,Non,3,0.28,4722
64,42,Auvergne-Rhône-Alpes,29777,0,0,0,Tiers,500,Non,Non,3,0.39,11770
65,77,Nouvelle-Aquitaine,21855,17,1,3559,Tous risques,800,Oui,Non,7,0.15,5305
66,31,Auvergne-Rhône-Alpes,32387,16,0,0,Tous risques,300,Non,Non,0,0.63,9789
67,67,Nouvelle-Aquitaine,21508,8,4,4534,Tiers,300,Oui,Oui,2,0.49,10271
68,75,Île-de-France,42802,8,1,6214,Tous risques,800,Non,Non,1,0.34,7118
69,26,Nouvelle-Aquitaine,54591,9,0,0,Tous risques,300,Non,Non,2,0.07,1675
70,43,Nouvelle-Aquitaine,31869,18,0,0,Tiers,800,Non,Non,3,0.23,10655
71,70,Provence-Alpes-Côte d'Azur,46333,14,1,6561,Tous risques,500,Non,Non,0,0.44,1589
72,19,Nouvelle-Aquitaine,26729,4,1,4990,Tous risques,1000,Oui,Non,3,0.26,1938
73,37,Nouvelle-Aquitaine,31370,14,3,15435,Tous risques,500,Non,Oui,2,0.23,3341
74,45,Île-de-France,25220,19,2,11443,Tiers,1000,Non,Non,2,0.16,4565
75,64,Provence-Alpes-Côte d'Azur,9402,1,1,1698,Tous risques,800,Non,Oui,0,0.52,12773
76,77,Bretagne,34561,12,2,6321,Tiers,500,Non,Oui,1,0.29,10286
77,24,Île-de-France,36541,15,0,0,Tiers,1000,Non,Non,0,0.36,6114
78,61,Île-de-France,47790,14,2,13075,Tous risques,800,Non,Non,1,0.51,14690
79,78,Bretagne,44545,9,3,18913,Tous risques,1000,Non,Non,1,0.4,4032
80,25,Nouvelle-Aquitaine,44707,13,0,0,Tous risques,300,Non,Non,3,0.13,9342
81,64,Auvergne-Rhône-Alpes,23311,9,2,12286,Tous risques,300,Non,Oui,0,0.16,12784
82,52,Provence-Alpes-Côte d'Azur,40513,13,0,0,Tiers,800,Non,Non,1,0.42,12129
83,31,Auvergne-Rhône-Alpes,53991,8,0,0,Tous risques,1000,Non,Oui,0,0.34,1809
84,34,Bretagne,39558,13,1,3483,Tous risques,300,Oui,Non,3,0.26,10610
85,53,Île-de-France,56943,2,1,3900,Tous risques,500,Oui,Non,1,0.21,4239
86,67,Île-de-France,59227,19,3,7743,Tous risques,1000,Non,Oui,2,0.36,5658
87,57,Provence-Alpes-Côte d'Azur,31778,15,3,9416,Tous risques,1000,Non,Non,5,0.36,7590
88,21,Île-de-France,26636,1,0,0,Tous risques,300,Non,Non,2,0.26,11965
89,19,Île-de-France,25862,9,0,0,Tous risques,300,Oui,Non,3,0.28,2909
90,79,Provence-Alpes-Côte d'Azur,16806,2,2,11526,Tous risques,800,Non,Non,2,0.1,2074
91,23,Provence-Alpes-Côte d'Azur,28779,10,1,4968,Tous risques,1000,Non,Oui,1,0.17,2724
92,71,Bretagne,49491,10,0,0,Tiers,500,Oui,Oui,2,0.25,3664
93,59,Île-de-France,8551,12,1,3925,Tiers,300,Oui,Oui,3,0.09,1362
94,21,Île-de-France,22550,6,1,5185,Tous risques,1000,Non,Non,5,0.11,13932
95,71,Bretagne,33474,16,1,4179,Tiers,300,Non,Oui,4,0.16,5126
96,46,Nouvelle-Aquitaine,24473,1,3,10050,Tous risques,800,Non,Non,2,0.3,3066
97,35,Nouvelle-Aquitaine,28672,11,0,0,Tiers,1000,Non,Oui,2,0.38,9748
98,43,Nouvelle-Aquitaine,28852,9,0,0,Tiers,1000,Non,Non,2,0.44,11911
99,61,Bretagne,31909,17,0,0,Tous risques,800,Non,Oui,1,0.17,11421
100,51,Île-de-France,26246,10,2,6680,Tous risques,500,Non,Oui,1,0.43,10921
101,27,Bretagne,25265,15,0,0,Tous risques,300,Non,Oui,1,0.38,1232
102,79,Bretagne,46211,16,1,4461,Tous risques,800,Non,Non,4,0.14,11841
103,53,Nouvelle-Aquitaine,47595,18,2,3826,Tous risques,1000,Non,Non,3,0.45,7777
104,31,Auvergne-Rhône-Alpes,18433,17,1,2059,Tiers,800,Non,Non,2,0.17,9911
105,48,Île-de-France,1884,2,3,8136,Tiers,1000,Non,Non,2,0.36,14368
106,65,Nouvelle-Aquitaine,47760,15,1,6735,Tous risques,800,Non,Non,3,0.25,12254
107,32,Auvergne-Rhône-Alpes,20254,5,1,5404,Tous risques,500,Non,Non,1,0.34,12467
108,25,Auvergne-Rhône-Alpes,37552,11,2,9940,Tous risques,1000,Non,Oui,2,0.19,3131
109,31,Provence-Alpes-Côte d'Azur,16211,10,1,5901,Tous risques,800,Non,Non,2,0.34,7408
110,40,Île-de-France,50573,14,4,7061,Tiers,500,Non,Non,2,0.21,14265
111,77,Auvergne-Rhône-Alpes,65524,14,1,6155,Tiers,500,Non,Non,5,0.71,8948
112,74,Nouvelle-Aquitaine,37193,15,1,4568,Tous risques,300,Non,Oui,3,0.17,1987
113,79,Provence-Alpes-Côte d'Azur,33870,9,0,0,Tous risques,1000,Non,Non,5,0.2,11111
114,57,Île-de-France,31134,11,0,0,Tiers,300,Non,Oui,1,0.22,1122
115,38,Bretagne,44381,12,0,0,Tiers,500,Non,Oui,1,0.37,11263
116,33,Nouvelle-Aquitaine,41812,3,2,12148,Tiers,300,Non,Non,4,0.28,13256
117,62,Auvergne-Rhône-Alpes,47041,6,1,1693,Tous risques,300,Non,Non,2,0.05,6666
118,35,Auvergne-Rhône-Alpes,27465,1,1,6816,Tous risques,800,Non,Non,3,0.15,6497
119,64,Nouvelle-Aquitaine,39081,14,3,20273,Tous risques,300,Non,Non,1,0.17,4911
120,70,Auvergne-Rhône-Alpes,28490,7,3,9434,Tous risques,500,Non,Oui,4,0.4,13215
